Model,DPO2002B
Firmware Version,1.52

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,0.001,,,
Sample Interval,1.92012e-06,,,
Filter Frequency,7e+07,,,
Record Length,5208,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,1,,1,
Vertical Units,V,,V,
Vertical Offset,0,,0,
Vertical Scale,0.5,,0.05,
Label,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect
-3.685e-03,-0.26,-0.26,0.046,0.05
-3.683e-03,-0.28,-0.32,0.048,0.04
-3.681e-03,-0.28,-0.24,0.056,0.058
-3.679e-03,-0.28,-0.32,0.062,0.052
-3.677e-03,-0.28,-0.26,0.07,0.074
-3.675e-03,-0.28,-0.32,0.076,0.064
-3.673e-03,-0.28,-0.26,0.08,0.09
-3.671e-03,-0.28,-0.32,0.098,0.08
-3.670e-03,-0.28,-0.26,0.106,0.112
-3.668e-03,-0.28,-0.32,0.124,0.104
-3.666e-03,-0.28,-0.26,0.136,0.138
-3.664e-03,-0.28,-0.32,0.154,0.132
-3.662e-03,-0.26,-0.26,0.172,0.176
-3.660e-03,-0.26,-0.32,0.196,0.17
-3.658e-03,-0.28,-0.26,0.22,0.22
-3.656e-03,-0.28,-0.32,0.242,0.216
-3.654e-03,-0.28,-0.26,0.262,0.264
-3.652e-03,-0.28,-0.32,0.282,0.26
-3.650e-03,-0.28,-0.26,0.29,0.294
-3.648e-03,-0.28,-0.32,0.296,0.286
-3.647e-03,-0.28,-0.26,0.288,0.302
-3.645e-03,-0.28,-0.32,0.28,0.258
-3.643e-03,-0.3,-0.26,0.262,0.294
-3.641e-03,-0.28,-0.32,0.242,0.216
-3.639e-03,-0.3,-0.26,0.218,0.266
-3.637e-03,-0.3,-0.32,0.196,0.176
-3.635e-03,-0.3,-0.26,0.18,0.222
-3.633e-03,-0.28,-0.32,0.158,0.138
-3.631e-03,-0.3,-0.26,0.142,0.18
-3.629e-03,-0.3,-0.32,0.126,0.112
-3.627e-03,-0.28,-0.26,0.116,0.144
-3.625e-03,-0.28,-0.32,0.102,0.088
-3.623e-03,-0.3,-0.26,0.092,0.118
-3.622e-03,-0.28,-0.32,0.084,0.072
-3.620e-03,-0.3,-0.26,0.076,0.094
-3.618e-03,-0.3,-0.32,0.07,0.056
-3.616e-03,-0.28,-0.26,0.06,0.08
-3.614e-03,-0.28,-0.32,0.054,0.046
-3.612e-03,-0.3,-0.26,0.052,0.066
-3.610e-03,-0.28,-0.32,0.046,0.038
-3.608e-03,-0.3,-0.26,0.044,0.054
-3.606e-03,-0.3,-0.32,0.036,0.03
-3.604e-03,-0.3,-0.26,0.036,0.046
-3.602e-03,-0.3,-0.32,0.032,0.024
-3.600e-03,-0.3,-0.28,0.028,0.04
-3.599e-03,-0.3,-0.32,0.028,0.018
-3.597e-03,-0.3,-0.26,0.026,0.034
-3.595e-03,-0.3,-0.34,0.026,0.018
-3.593e-03,-0.28,-0.26,0.024,0.03
-3.591e-03,-0.3,-0.34,0.022,0.014
-3.589e-03,-0.3,-0.28,0.016,0.026
-3.587e-03,-0.3,-0.34,0.02,0.01
-3.585e-03,-0.3,-0.28,0.014,0.022
-3.583e-03,-0.3,-0.34,0.022,0.01
-3.581e-03,-0.3,-0.28,0.01,0.022
-3.579e-03,-0.3,-0.34,0.012,0.008
-3.577e-03,-0.3,-0.26,0.012,0.018
-3.575e-03,-0.3,-0.34,0.014,0.006
-3.574e-03,-0.3,-0.28,0.01,0.016
-3.572e-03,-0.3,-0.34,0.004,0.002
-3.570e-03,-0.3,-0.26,0.006,0.016
-3.568e-03,-0.3,-0.32,0.012,0.002
-3.566e-03,-0.3,-0.28,0.01,0.014
-3.564e-03,-0.3,-0.34,0.01,-4.76837e-10
-3.562e-03,-0.3,-0.28,0.006,0.014
-3.560e-03,-0.3,-0.34,0.008,-4.76837e-10
-3.558e-03,-0.3,-0.28,0.008,0.012
-3.556e-03,-0.3,-0.34,0.002,-4.76837e-10
-3.554e-03,-0.3,-0.28,0.004,0.01
-3.552e-03,-0.3,-0.34,0.004,-0.002
-3.551e-03,-0.32,-0.28,0.004,0.01
-3.549e-03,-0.3,-0.34,0.004,-0.002
-3.547e-03,-0.32,-0.28,0.004,0.008
-3.545e-03,-0.28,-0.34,-4.76837e-10,-0.002
-3.543e-03,-0.32,-0.28,0.002,0.01
-3.541e-03,-0.3,-0.34,0.002,-0.002
